customer_id,credit_score,number_of_credit_accounts,total_credit_limit,total_credit_used,number_of_late_payments,bankruptcies
dca2920d-e127-4142-b32a-e4eecbf0ac40,780,8,18689.3,8483.42,2,2
ed194a7a-b4b9-4392-800f-cecec7960dce,686,8,71601.82,54791.56,4,1
e9034814-6569-4b12-bdaa-ffc42dfca7b2,756,5,19771.63,17508.39,9,0
6df1637f-f334-4cf0-a4bc-85d53262544f,672,6,93157.2,82792.26,1,1
b4970009-6726-46ac-96a4-db6dd0ebaae3,844,10,66712.67,1735.75,1,2
73c1f07e-f10a-472e-8932-a047636f4584,682,1,1657.16,1181.1,6,2
a8a1c0bb-e9ee-4b32-838a-0a9089341ceb,413,1,13734.11,9862.7,7,0
4256d18b-5efe-41d7-a2f1-ddaef7dd9fe7,446,5,78624.75,12043.74,4,2
1e733c9c-e587-4d2a-8e89-62f5ea127766,570,5,68619.99,62122.9,4,1
634947c3-e39d-4df2-8b53-45aa83fe607c,456,1,49146.57,9611.55,3,2
22dc6917-c1cc-4287-a1ee-d6bba01b85fc,499,7,30684.66,28207.77,9,2
2798dc07-3031-4488-9599-87f600a51508,367,10,89038.11,58327.26,7,2
4c11b2cc-e818-4ecb-8536-a0da813c8ac0,777,10,33892.26,16816.26,10,1
9dd02bb1-6e34-4e43-9547-670fb4d4ae6b,411,10,23504.77,20120.82,7,0
ff86d206-502f-495b-80a8-22a7764b2dbd,413,4,26048.31,8487.91,3,1
3d7467c8-eaf5-4612-b39f-6220a1541d13,671,3,40746.9,26496.58,4,2
ed88a861-7712-450e-8c74-5fa3aee8ee5d,498,10,90331.23,22339.94,9,1
31117654-4f59-4e3e-b469-0691ddcb865c,430,3,57066.17,30134.68,9,2
ee9ae2f5-e1a6-47bc-94ec-9024fdfd99ce,722,10,39338.26,20252.51,9,0
e2716a53-6cc0-4fa8-93ec-97cce8312cfe,591,4,28396.3,11545.56,5,1
284a0aa3-a452-4eb5-aabf-612f30172ac3,301,9,73878.31,20846.08,5,0
8d62bd73-df83-4340-b29f-58b4780ac6f2,843,3,59951.64,30790.89,6,0
266702bd-e396-4bdd-a1e6-66fa2fe67977,306,4,13921.34,1222.86,9,0
a07d50ed-46a2-42a2-9cd6-e6007f8b62cd,618,6,26277.82,14671.78,1,2
4a90381c-7fb4-4b75-a17b-3a16196556ee,771,5,58288.41,29444.79,10,2
fe37bf3a-1b9b-42a4-9c7d-138befa93d8c,408,3,90275.1,9261.7,1,2
b61ad138-833e-4c0a-8e05-9afd2a1f96e9,637,3,36097.77,13200.69,6,2
f7037806-eca7-414a-ba00-292fc93d1770,503,9,38529.53,12004.58,0,1
e7dffe7a-d7f9-4102-9615-e100b383e115,732,2,27499.4,24791.85,4,0
8635b109-0102-4620-9b7d-21fa9ac40d03,390,2,15707.96,9977.66,7,1
670ec9ca-d99b-4a3d-8f9d-8aaceef49452,533,8,84702.15,18314.51,4,2
f7f23751-682b-41c6-b902-853e4e65b939,375,3,40623.19,6650.12,9,1
11ed25fd-0376-4f46-bd90-441bb4d92c95,564,1,94793.14,19068.24,2,2
2341783e-af07-4e71-be22-287b836227b7,769,4,83018.75,76016.43,1,0
9a1f6de7-2aa1-4857-b9c6-7d4714687ec7,834,2,72753.71,37483.32,3,0
031581df-4b06-49fe-9678-839daad22db0,676,1,64924.94,35813.51,3,2
bd15ed26-8db4-454d-ba90-f43ed2247ea3,353,8,43808.65,6594.11,8,1
9563244a-8c15-4598-902a-66341293297d,353,4,2201.7,1048.83,0,2
ee343f23-4ebe-459d-96b9-4122e4ba0536,572,7,86927.54,14566.09,10,0
3da06c59-07ba-4008-bfd0-0827c915300b,461,4,68389.07,52312.56,9,0
c801cafd-f5d3-4f29-86d7-2cbaadeb443a,473,1,89425.31,31262.16,0,2
33352c69-ffeb-42fb-90af-edb5da05bfa4,621,1,33373.9,23868.19,10,1
b7fd85e5-e627-4094-b324-6a1e16e8c212,642,8,41102.32,14467.35,5,0
3ccbfd38-9370-4a62-941f-4b261d2f8355,378,3,15297.89,10454.61,2,1
6f0603c8-2590-490b-a398-867ca30a56a7,505,4,41584.15,29756.49,9,2
0f18f3c3-c494-4503-bfa2-ae9c3a8493a8,469,8,19396.14,17025.31,10,0
91018909-f8c7-4b43-888b-2c6e9e8e8e19,821,9,17342.05,15718.67,7,2
e8781bc3-fb06-4ab4-ad29-e9279babe7c2,356,10,33917.57,10035.21,10,1
af8dbc95-4d78-48ac-8c7e-a27cf4552e3c,737,3,49237.92,20334.55,0,2
4edc73b9-a0d4-4276-8c7a-6b892c620784,635,7,10906.16,2082.87,0,2
13c639f0-66ee-493e-98b9-32d49acb8359,333,1,66126.88,19269.56,10,1
41cb877c-9813-44fd-bec9-ed7fba675137,684,2,41117.78,3320.08,9,0
b90cbac4-f99a-4e09-b218-8a899eccc382,404,5,45706.64,39252.02,4,2
70604924-8846-47fe-876c-fb76a88ee596,387,1,72116.03,36598.15,3,1
27d5d168-0a16-4f6f-a874-bfaeb589824f,332,8,65656.44,38303.15,1,2
0e77988f-9a6a-4afb-b086-b815370f153b,626,6,69231.28,19417.83,6,2
19c57c62-8485-46c2-83ee-93c93f525f4d,784,6,49693.83,27112.48,2,0
a8610643-520d-40e3-9b0a-b3b1452b6ad8,444,9,5965.33,71.37,4,0
1884d518-355e-4317-b808-302e9b991bc8,664,5,39477.79,18937.05,10,1
974164ba-22df-4f85-884e-9c0f4e7254a5,385,2,17302.67,11067.44,5,2
1bb65cfb-8abe-4a12-b0d8-4ff970837c73,650,4,78720.63,58847.82,9,0
fce19e59-55a5-4e15-a7c2-bac0ceab55d1,773,4,65006.15,10487.03,2,2
b5a92e71-00d6-428e-8be5-8f5516deab1f,449,8,61483.87,31829.87,5,1
b7d71f66-4edc-4089-af6c-a740abfec9c6,357,9,50755.63,10820.08,6,1
1d599fd2-fb5a-4113-8330-0b44ffee2c84,442,5,39063.23,21240.8,7,2
ec66fd20-59e5-45e2-b33d-e723515eda9f,366,1,6423.77,1280.21,1,1
dcd6bbcf-98a6-4667-be48-a30b77809269,385,7,35188.44,14228.59,1,1
41337c52-79b3-45aa-a5f5-47e7c8896899,526,6,53758.41,27443.77,7,2
4771227c-1426-441c-b454-8b6c2c7eba0d,762,3,82384.56,66533.0,7,1
82d3e174-1076-40a4-9f01-650e170ce0c4,491,3,83225.0,40501.18,8,2
d4727bd1-713a-4db3-bc8d-475c754d6113,302,10,21007.28,7411.69,2,1
de5015e3-38a1-4c4a-9672-76ebbda2c8c0,588,2,43321.36,34583.61,9,2
a99deef8-e537-4f27-95d4-75a172f665d3,340,9,32055.73,11710.07,9,2
0adc77d0-967c-4150-9290-75bb55cc4b76,782,7,69943.0,55101.66,7,1
dad16236-9a37-4089-a074-0bbc965e992d,832,8,78601.97,4079.4,4,2
cd4376ee-778d-45d8-8d54-dee3d3a0e1cf,431,1,15943.02,7426.26,9,1
6cf62e20-e5d0-4ed3-bfee-96603a84a7a7,301,3,46940.67,37396.61,5,2
e34df21a-181a-40a8-96f8-fef53091faa0,498,3,37253.81,13199.23,5,0
abe8d0a5-16b2-41cc-92a3-973b0d1758bb,781,2,44747.12,23923.27,7,1
aae84329-da79-404d-a2fc-e19e05cd1a35,327,2,98193.34,34989.23,2,1
48483416-ac50-4b76-82af-ffafffe45093,526,1,91045.5,32980.86,1,2
1a7a1912-eace-4565-b794-1d9fe1c19a4f,634,8,29934.52,27557.72,0,2
8a1fa86e-90f2-4a5a-8996-ff849ea71667,550,1,80778.76,28139.82,9,2
1f254670-b2e5-49cf-9d1a-335ad166fffb,744,2,72511.35,9318.57,4,0
e6781e29-a308-451e-a7ee-fcf7cbd9c9f5,762,8,56697.42,16137.44,2,1
e28f7f7b-9028-4a1e-86f9-23bf18d9e139,662,4,79853.33,73889.52,1,1
018ee93e-3268-40ae-ae2d-fc605e2f026f,711,5,69083.83,58870.32,4,1
80ff26b3-ae0c-429c-ae60-0054c3b8f6c1,302,2,62077.52,1427.78,9,1
70cfa227-bc5f-46a3-a92e-7483b17c0afd,680,10,17334.48,13402.58,5,0
aaba652e-52b6-4400-a83c-820f610b3334,804,2,89058.63,36456.86,3,1
d3fb1666-8d75-42fe-aae5-47c525d2b852,647,5,86039.1,32375.92,4,0
a129ff53-7f19-4eb6-9fd9-b68d4d3fdf60,784,3,62606.15,28120.64,3,2
ce4ca947-469d-4e55-a521-6390d5b37626,349,3,14757.59,1071.32,6,2
7ecd0bac-04fd-4d29-a751-b25f828b46ec,737,7,3170.81,674.55,10,0
cdab1d23-4679-4a4b-bea1-084af452c12e,345,8,94347.28,61094.27,8,1
95f60c69-1684-4c1a-90d4-8f8f0cedb32b,353,7,94788.34,70437.79,6,0
f37258d3-6ded-4bad-a87b-711998a73f0d,637,2,5762.68,5592.46,9,1
873421f1-97f5-4225-8114-c365ab71a784,485,10,39810.18,4749.59,1,0
14177432-32d6-472f-ab9b-3150dce71555,481,1,4616.22,1592.24,1,2
a95aac5b-6a8c-420a-8c33-43877008005b,788,7,78521.82,36814.24,1,2
a6715533-d405-4d42-86d9-9fa4cdda7957,619,10,21473.14,17556.55,9,0
579af8cb-d8ca-4064-8ddd-9320934a53de,471,9,10942.76,10570.17,9,1
7f36ef31-6049-4383-a2ef-f7f75cced94b,797,10,98696.9,32158.3,6,0
ab6c9f27-bfca-4a68-8122-09641ba7fd31,625,1,35370.85,26051.28,1,0
a8e49a97-dff8-4532-8efb-1e2d2bdada89,357,5,73454.27,47382.3,6,1
b7c2ce12-c0c9-49a6-a3b4-968fe05ae88f,609,6,72334.12,56343.53,6,1
aa3a448f-0e02-42cd-bbee-07c8e726a912,305,9,74460.18,16508.32,0,1
959cf5f1-6518-420c-b573-c64adf7fc546,786,4,86910.01,31650.15,1,0
946aa9c8-496f-4407-be51-b71f3afe9f38,566,5,63863.72,29190.08,7,1
e3aec6c8-964f-422c-9191-ebf9f57cc0ca,814,8,5496.41,4001.3,0,2
0825c721-f4bf-44a7-a60c-e37f27f31d6d,310,7,2203.56,412.35,3,0
b1c5b1d5-32e1-4e94-8434-1d37e44f0d04,504,1,38043.11,15607.47,0,1
fc0c15e6-905b-4664-b930-d8dafd7cedce,642,9,69326.01,63167.8,10,1
4dfa4a69-278a-4e6f-9d51-8793bdc09ae7,344,2,44354.65,14680.53,8,2
a63a7abc-becb-42b1-8816-5128534139a8,584,8,91832.58,43419.03,10,2
b2dc3c5f-68c3-4bb0-95d6-387100d65973,416,6,43281.24,18734.25,6,2
59882e38-83b6-4d14-9fa5-b36022236986,604,10,74476.29,40903.38,7,0
0eba3c09-9111-47d1-bc83-f1e61204f935,330,3,81748.31,57509.9,1,0
0b37bb86-edc3-49ef-966c-f8d487cf8d18,622,3,36903.23,21429.04,3,2
e2c6d91a-03e2-40f1-a6ff-982e7cca03ed,621,5,97735.75,66396.75,2,0
2ddd1d9c-dc1b-4510-bd34-3dc744aedf6d,691,6,23000.33,11221.61,4,0
1bb47e9d-c7a9-4429-a382-93827f642e9e,427,2,52884.89,50416.65,4,0
01a64564-2e6f-4023-a65a-767c65a43106,772,7,1947.05,1819.95,10,2
563f7fe2-35b7-42a3-9f71-9341818b3898,627,1,68961.3,4981.36,4,2
384c0350-d08a-47b8-a304-2da4d0e373c5,558,8,26784.16,24441.57,4,0
52e73ac5-cf0b-4ee6-9f50-ddc716066f6e,579,2,48640.69,3993.86,1,2
11d52697-0981-42ac-ba36-339fa0bc70ce,364,6,53278.83,44951.35,1,0
ff229d83-0ebe-40ea-8633-0f2a7389b44c,843,4,11578.11,10377.71,4,1
c7d6412a-aa75-45b5-8383-48cffe2fea9c,594,6,58943.43,30161.85,5,0
a8728b0d-39d7-4278-8232-8d27bab7cd16,784,5,82128.25,50917.67,7,0
39b497e5-2117-4520-9d79-490e1af4d30b,499,3,66267.78,53334.83,7,2
e79fbc29-06aa-483c-b4b5-b351d1895e88,409,1,40141.55,5371.9,1,2
3350ac48-3271-4d62-91ab-9f95f25efd6a,756,3,81409.08,62213.42,2,2
95a9ce7b-df92-4441-8380-631ea1927468,657,7,90431.22,15593.64,6,2
8d27b7fc-95ba-46a3-8bb9-d16bae858ed4,667,6,97535.07,56684.97,3,1
85ac8078-1904-453f-835f-765a1b51e228,552,1,84770.43,54315.68,1,2
b04eccf1-9583-43f7-8443-5a6643714c5f,754,3,70830.38,43315.17,5,0
7495eb53-e0c1-4995-97ba-fed91f237e99,554,7,3826.33,2506.86,0,1
d98133b2-0eba-4bc7-abee-0a62f63836c1,843,10,2327.76,395.93,6,0
9785edca-73db-41bc-b2f0-47fa406ec659,514,4,82732.17,56551.27,10,0
331d7b4a-a24a-474d-94d5-e5ddd6d155c7,754,4,36540.09,12690.23,1,1
8be857d2-255f-48a7-ae94-9baeff7b3d6b,658,9,50111.33,2196.98,1,0
41a6f1a4-aad9-42bf-bea9-189f739ee372,725,5,36444.83,6548.09,1,1
e4be55c5-8916-4446-b725-51d88979cfed,795,10,92296.0,78094.16,7,2
3f0dde54-2295-4e56-8410-d229d2a148cb,492,4,51377.06,16377.59,2,2
ebd3a6d7-9253-4b7f-a705-5f9d95cafe7f,763,6,36359.28,16462.92,1,2
dee38b18-a412-4811-9835-6b3d8d13e1e7,834,3,20849.52,20823.52,8,0
63e28e69-95b1-4081-92be-d8c89d78a34e,624,4,46090.65,21606.51,8,1
0f42ef12-2cc8-40ff-afbb-45b59652bfba,762,7,27088.32,7938.35,0,0
a27b2da7-a925-42e7-a637-869a4edb360e,724,3,97421.56,73132.91,6,1
5ea60bcd-0288-4342-8e4a-9ab19222cc2e,555,9,57714.74,50391.16,4,2
c97f5fe7-3d9b-4aad-b64d-f51b8414ad1f,759,3,85525.87,40360.91,5,1
702f3018-d84c-4392-89d3-a9c170e46593,648,8,81928.91,18972.39,6,0
a28e4706-8415-497f-a68d-61e7de49d493,752,5,44710.93,33809.69,5,0
bcd4cceb-f31f-4d7f-be39-37b6125b4719,478,5,82049.01,71277.13,5,1
2ddf5062-6334-4fd3-8e0b-c74161a6ae90,319,1,94582.17,17510.03,3,0
0de1fd81-015e-4c10-912e-9a740851a678,740,3,56961.91,15931.5,4,0
e4ca5aa7-2cdb-4d51-ac5e-07891ce8e848,583,9,29211.72,4160.68,9,0
f4dbaf45-2fc9-467e-a7e1-b8d1a2d43063,662,9,80584.35,44642.96,5,0
8648b5e2-4031-4f76-8fc6-9d089cd80f4c,568,8,5279.11,4814.87,5,1
926b3f99-31ae-495e-86fa-bcff07ae445d,434,8,54891.04,4071.03,4,1
2fccf5a6-5896-44f3-b04d-e09bbd67dbd9,817,5,84696.77,79003.8,10,0
779e0e90-3a99-4634-b38e-1007573c58eb,716,6,98594.73,48891.35,1,1
f931dec8-d772-429d-b297-6a535d20f124,640,4,28511.22,11907.96,10,2
d5b0116a-627c-4d4b-bf63-560827198d1d,316,10,34957.57,1605.2,2,2
dfabb93d-546f-48c9-a498-c1360f4c48ad,300,1,42735.62,744.21,0,2
e0808f5c-e38d-4898-9b40-ed6ece4bc86b,507,2,7151.9,2395.43,7,1
c7f3e6ff-659c-48f2-911c-0bbec1927524,663,8,68252.56,45867.36,10,2
66111459-3e76-4e79-b1ae-f2fc936ef40e,719,7,37928.91,8236.5,8,2
671d9577-94c7-4bf2-bc56-b2b65e80d46c,665,9,52194.53,42593.18,6,0
c36b1952-b600-47f3-9034-b15859002220,472,10,45125.28,38899.5,10,0
dfdf7256-a9fd-4fe4-9004-885dc60207d4,505,1,15357.49,9481.27,3,1
6ade29f7-469e-4db2-a8f1-2eb13aa8251a,778,5,94340.0,49495.15,7,2
17cace11-9a79-4e86-abce-840f96d10307,503,3,42123.91,19607.23,0,0
82849625-d280-43c4-ba36-8d3ac6955d6f,470,5,53448.56,31452.31,10,0
1058938e-d0d0-4fd1-9e90-00c4ee2d9c93,498,10,16965.09,8883.78,5,2
be5b7d7a-e7a4-4d84-99db-219f96a4c3b9,818,3,84332.64,43809.82,6,0
6dc52e2d-d933-4c9b-ad9e-3a9ae841cb1d,628,5,57783.37,56673.86,4,0
5704f76f-d3b7-45d6-b578-100c2f7d8d2c,595,2,55987.82,19761.95,7,1
60dabe2e-0a38-445b-95df-7554c5f6e5f0,554,9,67510.63,25416.53,4,0
2db23a15-9e21-4338-8dd0-b0e4e131041c,301,7,24923.17,9598.84,8,2
a53c6a9e-ecdb-48e5-9b3f-2f13c3ca4ba4,381,7,35923.51,1462.83,6,1
d778f687-f21d-4ffe-b0a5-00869589dd70,705,3,17627.45,3219.49,10,1
1a151c77-5c4b-4f24-9ed7-09ced07cae58,620,6,63049.35,37694.34,8,1
7e964dfa-16c1-462e-8d29-4a8acba001b9,409,2,44924.37,40078.16,3,0
040020a6-0271-4017-8e93-16afeb47d6b6,565,4,82115.7,78234.18,1,2
ac8d3dbb-7f22-444d-bfe7-a3cbc3d11d00,591,2,80660.85,30815.77,7,0
a8da9c59-2e75-4210-bfe0-fcc6c92fb39e,490,3,7715.61,4859.53,9,1
9090d735-3c3c-4da1-bc14-6978982eebdd,722,8,90402.86,50689.28,2,1
e95797cf-b243-4fda-9174-6a9032019f4b,630,7,31440.12,8811.42,1,0
76bd0600-37d5-4cb8-9754-5fdc10534f51,403,3,31042.68,20965.46,8,1
9639f9c4-7224-45b7-ac1b-060c6c549b48,846,6,78666.12,74619.51,9,0
e95d3c6b-83df-4007-914d-23512a11654d,625,7,62859.56,27867.47,9,0
6dfcbe77-e50f-4db8-80ec-3f83dae362a6,447,5,50077.15,45750.34,2,2
c9ead542-42b5-4370-a79f-fd0947ee2a3a,453,7,83922.92,21796.92,4,1
3fc29974-2e08-4f82-8396-aae704782cac,726,9,10454.49,3633.28,6,2
8413e44e-d826-4470-8880-1f3101018faa,422,4,13571.14,3874.75,3,0
b7d23d0b-62e9-402c-bc3c-3c6de9583680,652,5,19359.39,196.44,3,2
f68b5d4d-c904-4f3a-a9e2-ff3bbc2bd211,308,9,19099.78,195.08,3,2
04ee3c29-5d7a-410a-9f9e-af13dc76e647,595,2,74680.08,40864.53,4,1
496b3266-ba85-4380-993a-a6ea808c5aa8,741,10,32986.25,18165.79,5,2
d2d3fee0-cc57-42d8-b842-bc20a0ce60d6,568,7,59511.05,28042.65,4,0
a06d2250-3be8-4732-99aa-f8da468df16c,590,9,96759.65,64349.81,5,2
ff7a3334-d013-4a69-92d8-b5aa772810e5,672,2,24468.69,24164.81,2,0
c78dbe01-24d5-462f-bd18-06c0d274ac8f,319,3,68583.26,33568.99,10,2
a23877aa-6eeb-4894-957d-54be05c45b91,828,2,22421.44,939.8,5,1
e690765c-5028-4163-b86f-88be8b173d7f,398,5,78151.27,17951.38,7,1
e0be8a46-f6c7-4d94-8446-a1c02f8fdace,682,2,58795.58,49976.49,0,1
fa8eea02-87a2-4e5d-a34d-0df99649ad8b,742,8,61127.67,3737.1,5,2
2413dc5e-8f6d-4332-8207-169e68e9d996,509,5,26085.4,6379.23,2,2
4f841ec6-ba6f-4041-a61e-f021e3fe43af,502,10,19942.99,13059.89,1,2
9df9bd00-d3cc-4e47-a549-7bf6b9bc15c1,712,8,12856.09,1777.83,8,1
14888a6b-60c7-4730-8801-820d2c36c6eb,544,10,51416.84,29248.31,4,0
909e437f-fa58-4791-bc0f-21351970c80b,310,6,25862.65,7607.55,3,2
488154e4-8147-452d-bc80-f79f03b145c6,420,3,67786.82,10334.16,9,1
170894e0-36e8-4c67-b8e0-8544be7d53ad,552,4,36188.56,27805.66,1,0
667aa073-caef-4326-9f25-19bd713257ad,300,4,60260.78,18014.84,10,1
3fafe157-ed76-4b4a-9bcd-55993747041f,819,6,30150.65,12104.44,4,2
6fd69f10-edf9-429f-a9d3-2b81bfd42ebf,519,3,11875.42,9044.3,9,0
61eeb913-6733-4cb4-8cc1-e373e0567204,613,7,32954.12,25831.33,5,1
29b4da39-b15e-493d-a256-8f0a113f561f,738,8,58990.9,57404.38,4,0
c097138b-b048-46a1-ab38-1ba21ef2be83,761,5,74474.07,31690.58,10,1
7f9b103a-9ca5-4807-a1b5-2de787ff70f1,348,1,53489.37,53026.62,5,0
9fb02bf3-aa6a-416c-a5e5-1fed0f104611,517,1,32853.08,17413.35,8,0
17cace9f-becc-4a5e-a11b-5a860042a534,465,6,83551.93,13902.42,2,2
eaa6c2c2-a258-4e09-9906-22ffd2895909,301,5,11371.34,10392.96,8,0
279a05d0-fdef-4256-81b9-46166e377acf,835,4,20187.47,5921.52,2,1
4dac7f89-2b5f-4b7c-9127-c465dac45810,382,8,90216.09,81421.21,2,0
9d9c0e08-d78a-4026-9673-d6c69f61f6b8,325,3,57289.22,16721.83,8,1
96c897ae-68c0-445c-8e7e-e965e3469457,409,4,39102.6,15519.82,4,2
f0d9843d-5e9e-4075-9222-d6cc50433563,404,5,76028.86,58644.61,2,0
2fefb6bf-bc7a-4437-ace5-6955e23210de,655,7,21827.34,5835.4,1,2
184f166b-8eca-4a28-9a14-acc564870f7a,495,7,82602.03,10388.39,6,2
4d897ffd-7a08-4c2a-ba42-2226c6f24fde,700,2,14290.42,803.49,3,0
e97d522d-273e-4ddb-bc5b-b278c65d6437,323,7,92898.01,6287.92,6,1
d5363416-7ee6-470c-acac-d56cfb826330,485,10,91848.81,70404.88,0,2
6b7be933-c455-4544-a565-62cc9de4807c,532,10,73217.86,61667.0,6,2
e3a5f43e-091c-485c-8ac6-310b770063d6,372,2,11913.03,11726.89,0,0
80d0aebf-9a80-4b27-9ead-db8baa46059f,507,5,41452.46,15911.43,0,2
f223ad7d-85b9-4a8e-8ad0-526125da2fae,342,9,58852.95,48008.66,6,0
77868dba-25f3-4573-a0d8-8bf084ff3a87,410,3,25001.7,14822.81,10,1
5bcb4eaf-7d44-4951-8108-f0745a838317,466,1,72387.96,57241.65,4,2
4cac9c30-6016-45c6-abc3-45ae5e27f070,778,1,83374.68,71587.53,10,1
afa6fa70-5f34-4863-af13-427e2f77d130,640,4,56892.88,13741.54,5,0
79f1e502-f001-4575-82fc-b1e301437412,849,5,39811.62,38349.67,0,2
1921accf-e454-4a3d-9f50-53f0ce904283,777,6,15134.61,1849.52,3,0
6a1526e6-838d-4655-aa80-200a44798fa9,406,8,76634.57,39032.46,3,1
723e04bc-e5f1-4c19-a454-fa691a057a3d,712,4,97942.81,26802.75,10,0
d9eb4feb-24f9-4ba5-af7e-5745f6e14ecd,708,1,95346.93,30655.4,0,0
76412fe0-366b-4acb-ac95-a5ecf36dc88a,629,6,42442.29,14283.57,5,2
96b5342c-9a47-4bf2-823f-5cc20f2d30c7,321,5,2406.45,1603.54,9,1
661f3326-26e3-4346-af9d-39954250a453,803,3,48878.89,42577.92,2,1
c5a14623-bc12-4b07-a1ab-c65bf59f7799,591,3,23537.61,16509.16,2,2
24569a71-dcfd-4ad8-8464-d9b40aa0da77,639,1,95089.37,81077.19,4,0
1521f8a4-c824-4ab3-8668-12c2711fa5b4,706,7,96488.66,10453.67,10,2
7dbf5c71-1622-4145-8f16-b0678a20d99c,612,3,66693.18,48518.61,3,2
af8be361-10a4-4c5e-852e-59e91d24147d,648,10,53354.0,37975.69,0,1
539941af-6683-4433-888b-3817bd2e7b19,375,5,14533.59,5457.82,7,2
851db6d1-6d21-44e7-ba40-44181635e85b,329,10,34617.34,19474.88,3,1
82e70579-a165-4a3e-b070-b76970b46b07,769,7,5056.05,4337.89,3,1
b2423a58-30cb-4f0f-a717-9f608a3c2eb2,522,7,50055.69,47111.95,4,2
613dd66f-f8a3-40a6-94af-c6d50b13b71e,456,6,23384.04,5563.71,6,1
3887a03f-7686-4a79-8f5b-b84197e65307,726,8,80053.18,36694.1,6,0
cabe3c80-9867-41c7-90f2-8255f0b794b4,668,8,15506.62,6682.04,10,1
e5872e4d-b8e7-4ba7-a7b4-fb7cad0c1a38,457,10,68169.36,53225.76,0,2
47b89065-13bd-4814-a0d0-fb4e6d2a3a4e,328,2,15047.75,572.72,2,2
cb17fa99-7ebd-402b-9867-4c3bcff8b5e0,605,6,28692.67,13840.52,3,1
52e03c8e-19f8-44f3-8c92-7312fbdab191,783,5,41169.68,5368.85,3,1
5038ba82-e62c-4804-b818-518c10bae697,586,5,3955.59,1260.3,0,0
c882bc58-5707-41c2-8d3b-000474dcaf2c,617,4,16020.44,11205.5,6,2
ba6c6dbc-c4a5-4c66-81e1-823885e17dda,442,8,90061.54,44858.67,2,2
5905395c-ee23-480a-8178-21b0edb44c80,747,5,9614.21,6433.2,9,1
0696e8fc-dd1a-45bc-a565-a20d2aa45bc6,758,7,97070.1,70136.01,7,0
3902c473-747e-4083-966e-efbea6d5551e,416,8,64735.62,59758.31,2,1
ff90c99d-112d-4b93-ba85-1afb1c36bb61,618,9,17557.67,15325.91,1,0
9b13f646-9318-46a8-ae0d-6f15d9af82a6,718,10,24324.76,17642.85,8,0
cb1a0eb0-b278-41c5-93e7-c47f4ee934e5,711,9,38431.77,12622.07,8,1
facda844-7bc6-4044-8ec0-2a522ca1a763,576,1,47960.09,19573.06,2,2
771a7eb6-05af-472c-a6d0-82bf6375b01a,671,7,79333.81,67792.91,5,2
2aae41c4-c01b-45af-9318-6fafef364c30,819,10,51158.99,44223.91,1,2
